分类,级别,类型,简称,全称,出版社,网址
计算机体系结构/并行与分布计算/存储系统,A,期刊,TOCS,ACM Transactions on Computer Systems,ACM,http://dblp.uni-trier.de/db/journals/tocs/
计算机体系结构/并行与分布计算/存储系统,A,期刊,TOS,ACM Transactions on Storage,ACM,http://dblp.uni-trier.de/db/journals/tos/
计算机体系结构/并行与分布计算/存储系统,A,期刊,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,IEEE,http://dblp.uni-trier.de/db/journals/tcad/
计算机体系结构/并行与分布计算/存储系统,A,期刊,TC,IEEE Transactions on Computers,IEEE,http://dblp.uni-trier.de/db/journals/tc/index.html
计算机体系结构/并行与分布计算/存储系统,A,期刊,TPDS,IEEE Transactions on Parallel and Distributed Systems,IEEE,http://dblp.uni-trier.de/db/journals/tpds/
计算机体系结构/并行与分布计算/存储系统,A,期刊,TACO,ACM Transactions on Architecture and Code Optimization,ACM,http://dblp.uni-trier.de/db/journals/taco/
计算机体系结构/并行与分布计算/存储系统,B,期刊,TAAS,ACM Transactions on Autonomous and Adaptive Systems,ACM,http://dblp.uni-trier.de/db/journals/taas/
计算机体系结构/并行与分布计算/存储系统,B,期刊,TODAES,ACM Transactions on Design Automation of Electronic Systems,ACM,http://dblp.uni-trier.de/db/journals/todaes/
计算机体系结构/并行与分布计算/存储系统,B,期刊,TECS,ACM Transactions on Embedded Computing Systems,ACM,http://dblp.uni-trier.de/db/journals/tecs/
计算机体系结构/并行与分布计算/存储系统,B,期刊,TRETS,ACM Transactions on Reconfigurable Technology and Systems,ACM,http://dblp.uni-trier.de/db/journals/trets/
计算机体系结构/并行与分布计算/存储系统,B,期刊,TVLSI,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE,http://dblp.uni-trier.de/db/journals/tvlsi/
计算机体系结构/并行与分布计算/存储系统,B,期刊,JPDC,Journal of Parallel and Distributed Computing,Elsevier,http://dblp.uni-trier.de/db/journals/jpdc/
计算机体系结构/并行与分布计算/存储系统,B,期刊,JSA,Journal of Systems Architecture: Embedded Software Design,Elsevier,http://dblp.uni-trier.de/db/journals/jsa/
计算机体系结构/并行与分布计算/存储系统,B,期刊,Parallel Computing,Parallel Computing,Elsevier,https://dblp.org/db/journals/pc/index.html
计算机体系结构/并行与分布计算/存储系统,B,期刊,Performance Evaluation,Performance Evaluation: An International Journal,Elsevier,https://dblp.org/db/journals/pe/index.html
计算机体系结构/并行与分布计算/存储系统,B,期刊,TCC,IEEE Transactions on Cloud Computing,IEEE,https://dblp.uni-trier.de/db/journals/tcc/
计算机体系结构/并行与分布计算/存储系统,C,期刊,JETC,ACM Journal on Emerging Technologies in Computing Systems,ACM,http://dblp.uni-trier.de/db/journals/jetc/
计算机体系结构/并行与分布计算/存储系统,C,期刊,Concurrency and Computation,Concurrency and Computation: Practice and Experience,Wiley,http://dblp.uni-trier.de/db/journals/concurrency/
计算机体系结构/并行与分布计算/存储系统,C,期刊,DC,Distributed Computing,Springer,http://dblp.uni-trier.de/db/journals/dc/
计算机体系结构/并行与分布计算/存储系统,C,期刊,FGCS,Future Generation Computer Systems,Elsevier,http://dblp.uni-trier.de/db/journals/fgcs
计算机体系结构/并行与分布计算/存储系统,C,期刊,Integration,Integration the VLSI Journal,Elsevier,http://dblp.uni-trier.de/db/journals/integration
计算机体系结构/并行与分布计算/存储系统,C,期刊,JETTA,Journal of Electronic Testing-Theory and Applications,Springer,https://dblp.org/db/journals/et/index.html
计算机体系结构/并行与分布计算/存储系统,C,期刊,JGC,Journal of Grid computing,Springer,https://dblp.uni-trier.de/db/journals/grid/
计算机体系结构/并行与分布计算/存储系统,C,期刊,RTS,Real-Time Systems,Springer,http://dblp.uni-trier.de/db/journals/rts/
计算机体系结构/并行与分布计算/存储系统,C,期刊,TJSC,The Journal of Supercomputing,Springer,http://dblp.uni-trier.de/db/journals/tjs/
计算机体系结构/并行与分布计算/存储系统,C,期刊,TCASI,IEEE Transactions on Circuits and Systems I: Regular Papers,IEEE,https://dblp.org/db/journals/tcasl/index.html
计算机体系结构/并行与分布计算/存储系统,C,期刊,CCF-THPC,CCF Transactions on High Performance Computing,CCF,https://dblp.org/db/journals/ccfthpc/index.html
计算机体系结构/并行与分布计算/存储系统,C,期刊,TSUSC,IEEE Transactions on Sustainable Computing,IEEE,https://dblp.org/db/journals/tsusc/index.html
计算机体系结构/并行与分布计算/存储系统,A,会议,PPoPP,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,ACM,http://dblp.uni-trier.de/db/conf/ppopp/
计算机体系结构/并行与分布计算/存储系统,A,会议,FAST,USENIX Conference on File and Storage Technologies,USENIX,http://dblp.uni-trier.de/db/conf/fast/
计算机体系结构/并行与分布计算/存储系统,A,会议,DAC,Design Automation Conference,ACM,https://dblp.uni-trier.de/db/conf/dac/
计算机体系结构/并行与分布计算/存储系统,A,会议,HPCA,IEEE International Symposium on High Performance Computer Architecture,IEEE,http://dblp.uni-trier.de/db/conf/hpca/
计算机体系结构/并行与分布计算/存储系统,A,会议,MICRO,IEEE/ACM International Symposium on Microarchitecture,IEEE/ACM,https://dblp.uni-trier.de/db/conf/micro/index.html
计算机体系结构/并行与分布计算/存储系统,A,会议,SC,International Conference for High Performance Computing Networking Storage and Analysis,IEEE,http://dblp.uni-trier.de/db/conf/sc/
计算机体系结构/并行与分布计算/存储系统,A,会议,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,ACM,http://dblp.uni-trier.de/db/conf/asplos/
