Journal Name,Publisher/Category,Link
Applied Soft Computing,Elsevier,https://www.sciencedirect.com/journal/applied-soft-computing/articles-in-press
Computers & Industrial Engineering,Elsevier,https://www.sciencedirect.com/journal/computers-and-industrial-engineering/articles-in-press
Computers & Operations Research,Elsevier,https://www.sciencedirect.com/journal/computers-and-operations-research/articles-in-press
Decision Support Systems,Elsevier,https://www.sciencedirect.com/journal/decision-support-systems/articles-in-press
European J of Operational Research,Elsevier,https://www.sciencedirect.com/journal/european-journal-of-operational-research/articles-in-press
Expert Systems with Applications,Elsevier,https://www.sciencedirect.com/journal/expert-systems-with-applications/articles-in-press
Fuzzy Sets and Systems,Elsevier,https://www.sciencedirect.com/journal/fuzzy-sets-and-systems/articles-in-press
Information Fusion,Elsevier,https://www.sciencedirect.com/journal/information-fusion/articles-in-press
Information Sciences,Elsevier,https://www.sciencedirect.com/journal/information-sciences/articles-in-press
Int J of Approximate Reasoning,Elsevier,https://www.sciencedirect.com/journal/international-journal-of-approximate-reasoning/articles-in-press
Int J of Production Economics,Elsevier,https://www.sciencedirect.com/journal/international-journal-of-production-economics/articles-in-press
Knowledge-Based Systems,Elsevier,https://www.sciencedirect.com/journal/knowledge-based-systems/articles-in-press
Omega,Elsevier,https://www.sciencedirect.com/journal/omega/articles-in-press
Engineering Applications of Artificial Intelligence,Elsevier,https://www.sciencedirect.com/journal/engineering-applications-of-artificial-intelligence/articles-in-press
Journal of Management Science and Engineering,Elsevier,https://www.sciencedirect.com/journal/journal-of-management-science-and-engineering/articles-in-press
Electronic Commerce Research and Applications,Elsevier,https://www.sciencedirect.com/journal/electronic-commerce-research-and-applications/articles-in-press
International Journal of Forecasting,Elsevier,https://www.sciencedirect.com/journal/international-journal-of-forecasting/articles-in-press
Journal of Forecasting,Elsevier,https://onlinelibrary.wiley.com/toc/1099131x/0/0
Information & Management,Elsevier,https://www.sciencedirect.com/journal/information-and-management/articles-in-press
Information Systems,Elsevier,https://www.sciencedirect.com/journal/information-systems/articles-in-press
Artificial Intelligence,Elsevier,https://www.sciencedirect.com/journal/artificial-intelligence/articles-in-press
Pattern Recognition,Elsevier,https://www.sciencedirect.com/journal/pattern-recognition/articles-in-press
Pattern Recognition Letters,Elsevier,https://www.sciencedirect.com/journal/pattern-recognition-letters/articles-in-press
Neurocomputin,Elsevier,https://www.sciencedirect.com/journal/neurocomputing/articles-in-press
Physica A,Elsevier,https://www.sciencedirect.com/journal/physica-a-statistical-mechanics-and-its-applications/articles-in-press
Journal of Cleaner Production,Elsevier,https://www.sciencedirect.com/journal/journal-of-cleaner-production/articles-in-press
Energy,Elsevier,https://www.sciencedirect.com/journal/energy/articles-in-press
Reliability Engineering & System Safety,Elsevier,https://www.sciencedirect.com/journal/reliability-engineering-and-system-safety/articles-in-press
Journal of Biomedical Informatics,Elsevier,https://www.sciencedirect.com/journal/journal-of-biomedical-informatics/articles-in-press
AI Open,Elsevier,https://www.sciencedirect.com/journal/ai-open/articles-in-press
Neural Networks,Elsevier,https://www.sciencedirect.com/journal/neural-networks/articles-in-press
Advanced Engineering Informatics,Elsevier,https://www.sciencedirect.com/journal/advanced-engineering-informatics
Computers in Industry,Elsevier,https://www.sciencedirect.com/journal/computers-in-industry/articles-in-press
"Chaos, Solitons & Fractals",Elsevier,https://www.sciencedirect.com/journal/chaos-solitons-and-fractals/articles-in-press
Safety Science,Elsevier,https://www.sciencedirect.com/journal/safety-science/articles-in-press
Technological Forecasting and Social Change,Elsevier,https://www.sciencedirect.com/journal/technological-forecasting-and-social-change/articles-in-press
Automation in Construction,Elsevier,https://www.sciencedirect.com/journal/automation-in-construction
Annual Reviews in Control,Elsevier,https://www.sciencedirect.com/journal/annual-reviews-in-control/articles-in-press
Journal of Environmental Economics and Management,Elsevier,https://www.sciencedirect.com/journal/journal-of-environmental-economics-and-management/articles-in-press
Journal of Retailing and Consumer Services,Elsevier,https://www.sciencedirect.com/journal/journal-of-retailing-and-consumer-services/articles-in-press
"Transportation Research, Series B: Methodological",Elsevier,https://www.sciencedirect.com/journal/transportation-research-part-b-methodological/articles-in-press
"Transportation Research, Part D: Transport and Environment",Elsevier,https://www.sciencedirect.com/journal/transportation-research-part-d-transport-and-environment
"Transportation Research, Part E: Logistics and Transportation Review",Elsevier,https://www.sciencedirect.com/journal/transportation-research-part-e-logistics-and-transportation-review
EURO Journal on Decision Processes,Elsevier,https://www.sciencedirect.com/journal/euro-journal-on-decision-processes/articles-in-press
